iShares Russell 2000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,4-Nov-25,,,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,,,,
Shares Outstanding,"278,650,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
FLR,FLUOR CORP,Industrials,Equity,"182,514,183.08",0.27,"182,514,183.08","3,948,814.00",46.22,United States,New York Stock Exchange Inc.,USD,1,USD,-
CTRE,CARETRUST REIT INC,Real Estate,Equity,"182,103,527.19",0.27,"182,103,527.19","5,145,621.00",35.39,United States,New York Stock Exchange Inc.,USD,1,USD,-
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials,Equity,"181,701,666.51",0.27,"181,701,666.51","661,479.00",274.69,United States,New York Stock Exchange Inc.,USD,1,USD,-
AHR,AMERICAN HEALTHCARE REIT INC,Real Estate,Equity,"177,493,881.18",0.26,"177,493,881.18","3,860,241.00",45.98,United States,New York Stock Exchange Inc.,USD,1,USD,-
AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology,Equity,"176,936,486.70",0.26,"176,936,486.70","907,134.00",195.05,United States,NASDAQ,USD,1,USD,-
JBTM,JBT MAREL CORP,Industrials,Equity,"173,879,638.65",0.26,"173,879,638.65","1,256,265.00",138.41,United States,New York Stock Exchange Inc.,USD,1,USD,-
ONB,OLD NATIONAL BANCORP,Financials,Equity,"172,962,153.15",0.26,"172,962,153.15","8,457,807.00",20.45,United States,NASDAQ,USD,1,USD,-
HL,HECLA MINING,Materials,Equity,"172,738,160.28",0.25,"172,738,160.28","14,430,924.00",11.97,United States,New York Stock Exchange Inc.,USD,1,USD,-
RNA,AVIDITY BIOSCIENCES INC,Health Care,Equity,"171,065,902.84",0.25,"171,065,902.84","2,449,748.00",69.83,United States,NASDAQ,USD,1,USD,-
ZWS,ZURN ELKAY WATER SOLUTIONS CORP,Industrials,Equity,"169,619,762.72",0.25,"169,619,762.72","3,618,169.00",46.88,United States,New York Stock Exchange Inc.,USD,1,USD,-
JXN,JACKSON FINANCIAL INC CLASS A,Financials,Equity,"168,376,806.90",0.25,"168,376,806.90","1,674,558.00",100.55,United States,New York Stock Exchange Inc.,USD,1,USD,-
CYTK,CYTOKINETICS INC,Health Care,Equity,"167,292,467.98",0.25,"167,292,467.98","2,805,979.00",59.62,United States,NASDAQ,USD,1,USD,-
PRIM,PRIMORIS SERVICES CORP,Industrials,Equity,"167,039,343.82",0.25,"167,039,343.82","1,304,791.00",128.02,United States,New York Stock Exchange Inc.,USD,1,USD,-
FSS,FEDERAL SIGNAL CORP,Industrials,Equity,"164,231,574.52",0.24,"164,231,574.52","1,445,446.00",113.62,United States,New York Stock Exchange Inc.,USD,1,USD,-
JOBY,JOBY AVIATION INC CLASS A,Industrials,Equity,"163,780,900.92",0.24,"163,780,900.92","11,096,267.00",14.76,United States,New York Stock Exchange Inc.,USD,1,USD,-
RIOT,RIOT PLATFORMS INC,Information Technology,Equity,"161,822,819.17",0.24,"161,822,819.17","8,395,477.00",19.27,United States,NASDAQ,USD,1,USD,-
TTMI,TTM TECHNOLOGIES INC,Information Technology,Equity,"160,812,049.23",0.24,"160,812,049.23","2,425,887.00",66.29,United States,NASDAQ,USD,1,USD,-
APLD,APPLIED DIGITAL CORP,Information Technology,Equity,"160,143,620.64",0.24,"160,143,620.64","5,155,944.00",31.06,United States,NASDAQ,USD,1,USD,-
ORA,ORMAT TECH INC,Utilities,Equity,"159,824,584.60",0.24,"159,824,584.60","1,471,004.00",108.65,United States,New York Stock Exchange Inc.,USD,1,USD,-
MIR,MIRION TECHNOLOGIES INC CLASS A,Information Technology,Equity,"157,447,123.08",0.23,"157,447,123.08","5,659,494.00",27.82,United States,New York Stock Exchange Inc.,USD,1,USD,-
CMC,COMMERCIAL METALS,Materials,Equity,"154,656,410.76",0.23,"154,656,410.76","2,736,313.00",56.52,United States,New York Stock Exchange Inc.,USD,1,USD,-
FCFS,FIRSTCASH HOLDINGS INC,Financials,Equity,"152,872,010.49",0.23,"152,872,010.49","956,227.00",159.87,United States,NASDAQ,USD,1,USD,-
CORZ,CORE SCIENTIFIC INC,Information Technology,Equity,"148,756,341.32",0.22,"148,756,341.32","6,842,518.00",21.74,United States,NASDAQ,USD,1,USD,-
MARA,MARA HOLDINGS INC,Information Technology,Equity,"148,751,742.30",0.22,"148,751,742.30","8,950,165.00",16.62,United States,NASDAQ,USD,1,USD,-
CADE,CADENCE BANK,Financials,Equity,"146,368,181.34",0.22,"146,368,181.34","3,931,458.00",37.23,United States,New York Stock Exchange Inc.,USD,1,USD,-
CVLT,COMMVAULT SYSTEMS INC,Information Technology,Equity,"146,197,327.10",0.22,"146,197,327.10","1,076,405.00",135.82,United States,NASDAQ,USD,1,USD,-
